pathogen,checkpoint,model size,mode,Fold,Label,Prob,Preds
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.4350437,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5871919,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.71626943,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.63498783,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.70078033,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.47374257,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5522914,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.53406924,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5935008,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5702915,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.682596,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.45495555,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.54122686,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7459002,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7650298,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.56497604,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5217152,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5887786,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.63779813,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7062996,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7141162,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5390266,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.64824766,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7549455,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.97037065,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9399623,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94719166,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96618503,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.97929263,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9612283,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96301425,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9565078,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9836447,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.97637546,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9796085,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9657201,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.61496246,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.63408256,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.64874506,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7225831,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7617668,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.73165596,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5910046,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9644742,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96907973,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94871145,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94082296,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9727411,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9433926,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9588641,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9264506,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9551783,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9072771,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6964862,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.815926,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8435599,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6875956,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.71757114,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.776669,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8011545,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.92268586,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9252659,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9217835,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96645254,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9287372,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.91504747,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9102448,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94808805,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.93107235,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.961131,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9524971,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.92601246,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8934693,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9038352,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9606969,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.97367316,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9570483,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9635824,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96523005,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96696454,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96493083,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9633781,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.98221314,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.97666717,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.893908,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8707983,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.86923474,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8788676,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8366517,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8879996,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8377884,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8306281,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.89798063,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.86479026,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8479972,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9059745,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9029996,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7935658,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8345799,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.88640565,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8782406,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.79568666,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8462889,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.83647317,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.85747,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8600395,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7816545,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7351579,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.93233854,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9375935,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94749165,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9340197,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9261513,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.93835235,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9521972,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6870954,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6538177,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7486344,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6168128,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.65815073,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.57709026,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.80457264,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8110314,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5733867,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6295823,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6328615,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.77655584,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7886728,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.89061844,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.5939952,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6048229,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7372582,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9137708,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94365203,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9512879,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9685508,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9693606,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9420738,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9525365,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9637365,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.92840695,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9608913,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.92313206,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.7399293,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6236735,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.636497,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.37083098,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.4524469,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.48194367,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.32211736,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.24856819,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.3396249,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.38227776,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.30536094,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.29521516,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.39610326,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.43786284,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.54395795,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.6679895,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.56924516,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.80130124,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.79899365,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.64903206,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.93956095,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8985001,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8279491,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.66808754,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8292957,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.92532015,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8727383,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9035029,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9263624,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96852076,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.94916344,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.95330054,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9477035,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8812454,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.95512414,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9244737,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.95072144,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.95317745,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8797349,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.923136,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.96223897,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.9355206,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8881458,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.871268,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.84044605,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.87145656,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8897248,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8146493,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.88039124,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8225978,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.89883,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8785647,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.91221005,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.89500004,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.8258927,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.83886707,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.767619,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.306512,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.6101241,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.40755254,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.19292033,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.20847784,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.31829268,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.4956101,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.32721525,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.4496435,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.49353573,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.6137597,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.6036886,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.4068239,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.83481777,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.35987052,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.25403416,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.358808,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.421004,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.25321093,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.41700226,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.2372519,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.3838106,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.12430259,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.1873217,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.15851028,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.19225214,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.10553353,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.18763514,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.2633553,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.12782757,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.047014106,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.09663796,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.034413997,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.06320165,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.023989001,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.05745483,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.04207096,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.041646965,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.042913027,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.13293204,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.05320446,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.14256291,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.046048604,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.0691389,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.088841,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.18150719,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.045733184,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.045337584,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.11782572,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.040576506,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.05697773,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.03396192,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.08283233,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.046551064,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.047555316,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.07079359,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.08433436,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.16472909,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.23328455,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.6936344,1
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.30865258,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.2919213,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.25321043,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.13306203,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.13701136,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.29005724,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.1512097,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.38891178,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.35892335,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.24323082,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.20048404,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.16625987,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.13234136,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,0,0.19752479,0
Orthopoxvirus,prot_t5_xl_half_uniref50-enc,,LoRA,1,1,0.37304202,0
